,booth_name,brand_name,address,address_disp,new_address,new_address_disp,homepage,pay_keywords,x,y,tel
0,인생네컷 목동로데오점,인생네컷,서울 양천구 신정동 988-5 목동중앙하이츠펠리시티,서울|양천구|신정동|988-5|목동중앙하이츠펠리시티,서울 양천구 오목로 212,서울|양천구||오목로|212|목동중앙하이츠펠리시티,https://lifefourcuts.com/,제로페이,469358,1118343,010-8319-0580
1,인생네컷 양천신정네거리점,인생네컷,서울 양천구 신정동 973-33 1층,서울|양천구|신정동|973-33|1층,서울 양천구 신월로 295,서울|양천구||신월로|295|1층,https://lifefourcuts.com,제로페이,467707,1117246,010-2680-4490
2,포토시그니처 신정네거리점,포토시그니처,서울 양천구 신정동 1183-3 1층 1호,서울|양천구|신정동|1183-3|1층 1호,서울 양천구 중앙로 267,서울|양천구||중앙로|267|1층 1호,http://photosignature.co.kr/,,467422,1116866,
3,포토이즘박스 동양미래대학점,포토이즘박스,서울 구로구 고척동 76-133 1층,서울|구로구|고척동|76-133|1층,서울 구로구 중앙로6길 48,서울|구로구||중앙로6길|48|1층,http://photoism.co.kr,,470445,1111320,
4,인생네컷 서울구로고척로드점,인생네컷,서울 구로구 고척동 52-201 지하 1층,서울|구로구|고척동|52-201|지하 1층,서울 구로구 경인로47길 14,서울|구로구||경인로47길|14|지하 1층,https://lifefourcuts.com,,470609,1111348,010-6286-8924
5,인생네컷 목동파리공원점,인생네컷,서울 양천구 목동 905-22 목동트윈빌 1층 115호,서울|양천구|목동|905-22|목동트윈빌 1층 115호,서울 양천구 목동동로 339,서울|양천구||목동동로|339|목동트윈빌 1층 115호,https://lifefourcuts.com/,제로페이,472764,1120206,010-8616-0266
6,포토이즘박스 목동점,포토이즘박스,서울 양천구 목동 907-5 1층,서울|양천구|목동|907-5|1층,서울 양천구 목동서로 65,서울|양천구||목동서로|65|1층,http://photoism.co.kr,,473244,1121311,
7,인생네컷 서울문래점,인생네컷,서울 영등포구 문래동2가 41-1,서울|영등포구|문래동2가|41-1|,서울 영등포구 경인로79길 13,서울|영등포구||경인로79길|13|,https://lifefourcuts.com,,476553,1114896,010-5469-3088
8,포토시그니처 서울까치산역점,포토시그니처,서울 강서구 화곡동 343-1,서울|강서구|화곡동|343-1|,서울 강서구 강서로13길 3,서울|강서구||강서로13길|3|,http://photosignature.co.kr,제로페이,465999,1120237,
9,포토이즘박스 문래점,포토이즘박스,서울 영등포구 문래동2가 14-42,서울|영등포구|문래동2가|14-42|,서울 영등포구 도림로131길 13,서울|영등포구||도림로131길|13|,http://photoism.co.kr,,476643,1115084,
