,booth_name,brand_name,address,address_disp,new_address,new_address_disp,homepage,pay_keywords,x,y,tel
0,인생네컷 목동파리공원점,인생네컷,서울 양천구 목동 905-22 목동트윈빌 1층 115호,서울|양천구|목동|905-22|목동트윈빌 1층 115호,서울 양천구 목동동로 339,서울|양천구||목동동로|339|목동트윈빌 1층 115호,https://lifefourcuts.com/,제로페이,472764,1120206,010-8616-0266
1,포토이즘박스 목동점,포토이즘박스,서울 양천구 목동 907-5 1층,서울|양천구|목동|907-5|1층,서울 양천구 목동서로 65,서울|양천구||목동서로|65|1층,http://photoism.co.kr,,473244,1121311,
2,인생네컷 목동로데오점,인생네컷,서울 양천구 신정동 988-5 목동중앙하이츠펠리시티,서울|양천구|신정동|988-5|목동중앙하이츠펠리시티,서울 양천구 오목로 212,서울|양천구||오목로|212|목동중앙하이츠펠리시티,https://lifefourcuts.com/,제로페이,469358,1118343,010-8319-0580
3,인생네컷 서울목동로드점,인생네컷,서울 양천구 목동 907-5,서울|양천구|목동|907-5|,서울 양천구 목동서로 65,서울|양천구||목동서로|65|,https://lifefourcuts.com,,473205,1121301,010-8931-5974
4,인생네컷 양천신정네거리점,인생네컷,서울 양천구 신정동 973-33 1층,서울|양천구|신정동|973-33|1층,서울 양천구 신월로 295,서울|양천구||신월로|295|1층,https://lifefourcuts.com,제로페이,467707,1117246,010-2680-4490
5,포토시그니처 목동점,포토시그니처,서울 양천구 신정동 323 1층 108호,서울|양천구|신정동|323|1층 108호,서울 양천구 목동서로 389,서울|양천구||목동서로|389|1층 108호,http://photosignature.co.kr/,,469322,1115669,
6,포토시그니처 신정네거리점,포토시그니처,서울 양천구 신정동 1183-3 1층 1호,서울|양천구|신정동|1183-3|1층 1호,서울 양천구 중앙로 267,서울|양천구||중앙로|267|1층 1호,http://photosignature.co.kr/,,467422,1116866,
7,포토이즘박스 영등포구청점,포토이즘박스,서울 영등포구 당산동3가 218,서울|영등포구|당산동3가|218|,서울 영등포구 당산로32길 3,서울|영등포구||당산로32길|3|,http://photoism.co.kr,,477296,1118624,
8,포토시그니처 서울까치산역점,포토시그니처,서울 강서구 화곡동 343-1,서울|강서구|화곡동|343-1|,서울 강서구 강서로13길 3,서울|강서구||강서로13길|3|,http://photosignature.co.kr,제로페이,465999,1120237,
9,인생네컷 서울문래점,인생네컷,서울 영등포구 문래동2가 41-1,서울|영등포구|문래동2가|41-1|,서울 영등포구 경인로79길 13,서울|영등포구||경인로79길|13|,https://lifefourcuts.com,,476553,1114896,010-5469-3088
10,인생네컷 서울화곡점,인생네컷,서울 강서구 화곡동 1065-1,서울|강서구|화곡동|1065-1|,서울 강서구 화곡로25길 2,서울|강서구||화곡로25길|2|,https://lifefourcuts.com,제로페이,464317,1122774,010-6267-9729
11,포토이즘박스 문래점,포토이즘박스,서울 영등포구 문래동2가 14-42,서울|영등포구|문래동2가|14-42|,서울 영등포구 도림로131길 13,서울|영등포구||도림로131길|13|,http://photoism.co.kr,,476643,1115084,
12,인생네컷 서울영등포역점,인생네컷,"서울 영등포구 영등포동3가 22-4 1,2층","서울|영등포구|영등포동3가|22-4|1,2층",서울 영등포구 영중로4길 17,"서울|영등포구||영중로4길|17|1,2층",https://lifefourcuts.com/,,479719,1116138,010-2680-4490
13,하루필름 영등포점,하루필름,서울 영등포구 영등포동3가 11 1층,서울|영등포구|영등포동3가|11|1층,서울 영등포구 경인로 869-1,서울|영등포구||경인로|869-1|1층,https://www.instagram.com/haru_film_ydp/,,479947,1116127,
14,포토시그니처 문래점,포토시그니처,서울 영등포구 문래동2가 44-15 1층,서울|영등포구|문래동2가|44-15|1층,서울 영등포구 경인로79길 16,서울|영등포구||경인로79길|16|1층,http://photosignature.co.kr/,제로페이,476527,1114995,
